Transaction ID,Date,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model
41,10/21/2021,Thursday,Apple,7,65469.66,Pooja Rao,54,Delhi,UPI,5,iPhone 11
70,10/29/2021,Friday,Apple,4,49253.8,Pooja Reddy,21,Delhi,Cash,5,iPhone 12
127,11/13/2021,Saturday,Apple,4,45059.18,Kiran Solanki,27,Delhi,Cash,5,iPhone 12
167,11/25/2021,Thursday,Apple,2,63196.93,Pooja Thakur,36,Delhi,Credit Card,5,iPhone 12
225,12/12/2021,Sunday,Apple,3,65764.45,Pankaj Shah,18,Delhi,Cash,5,iPhone 11
275,12/25/2021,Saturday,Apple,6,32412.42,Pooja Joshi,28,Delhi,Debit Card,5,iPhone 12
278,12/26/2021,Sunday,Apple,2,25400.84,Anita Bhattacharya,25,Delhi,Debit Card,5,iPhone 12
307,1/4/2022,Tuesday,Apple,6,69566.26,Isha Dutta,55,Delhi,UPI,5,iPhone SE
429,2/5/2022,Saturday,Apple,4,69023.91,Devendra Mathur,32,Delhi,UPI,5,iPhone SE
461,2/14/2022,Monday,Apple,2,63025.72,Namita Sheth,21,Delhi,Credit Card,5,iPhone 11
484,2/21/2022,Monday,Apple,7,39630.95,Shruti Pathak,30,Delhi,Cash,5,iPhone SE
531,3/7/2022,Monday,Apple,9,44417.67,Vinod Dutta,44,Delhi,UPI,5,iPhone 11
571,3/19/2022,Saturday,Apple,5,54091.03,Vivek Ghosh,59,Delhi,Credit Card,5,iPhone SE
586,3/23/2022,Wednesday,Apple,4,38372.76,Ramesh Dutta,56,Delhi,Credit Card,5,iPhone SE
632,4/6/2022,Wednesday,Apple,4,60996.25,Pooja Dutta,30,Delhi,Cash,5,iPhone SE
649,4/11/2022,Monday,Apple,8,41363.84,Manoj Jain,31,Delhi,Cash,5,iPhone SE
676,4/19/2022,Tuesday,Apple,9,51689.65,Lata Patel,28,Delhi,UPI,5,iPhone 12
694,4/24/2022,Sunday,Apple,9,20644.57,Sneha Arora,34,Delhi,UPI,5,iPhone SE
708,4/29/2022,Friday,Apple,8,43832.02,Bina Siddiqui,58,Delhi,Debit Card,5,iPhone 12
730,5/5/2022,Thursday,Apple,1,46160.2,Sunita Mehta,24,Delhi,Cash,5,iPhone 11
733,5/6/2022,Friday,Apple,4,14856.98,Yogesh Malhotra,49,Delhi,Debit Card,5,iPhone SE
735,5/6/2022,Friday,Apple,4,66174.42,Sunil Varma,43,Delhi,Debit Card,5,iPhone 12
883,6/18/2022,Saturday,Apple,8,50151.02,Lalita Siddiqui,51,Delhi,Debit Card,5,iPhone 11
942,7/5/2022,Tuesday,Apple,3,24040.32,Ayesha Ahuja,38,Delhi,Debit Card,5,iPhone SE
1034,7/31/2022,Sunday,Apple,4,36007.82,Kavita Bhatnagar,37,Delhi,Cash,5,iPhone 11
1036,8/1/2022,Monday,Apple,3,66283.23,Kiran Rathod,31,Delhi,Debit Card,5,iPhone SE
1060,8/8/2022,Monday,Apple,2,61022.62,Ravi Teja,46,Delhi,UPI,5,iPhone SE
1075,8/12/2022,Friday,Apple,7,33169.36,Vivek Menon,19,Delhi,UPI,5,iPhone 11
1076,8/12/2022,Friday,Apple,1,67263.81,Priyanka Jain,52,Delhi,UPI,5,iPhone 11
1093,8/17/2022,Wednesday,Apple,4,69360.44,Pooja Menon,24,Delhi,Debit Card,5,iPhone 12
1096,8/17/2022,Wednesday,Apple,3,11730.18,Sanjay Patel,43,Delhi,Cash,5,iPhone SE
1097,8/18/2022,Thursday,Apple,7,30288.4,Anjali Varma,41,Delhi,Credit Card,5,iPhone 12
1099,8/18/2022,Thursday,Apple,3,25738.3,Meena Desai,57,Delhi,Cash,5,iPhone 11
1125,8/26/2022,Friday,Apple,1,63739.18,Nikhil Rathod,31,Delhi,Debit Card,5,iPhone SE
1127,8/27/2022,Saturday,Apple,3,52392.99,Kunal Patel,45,Delhi,UPI,5,iPhone 11
1173,9/8/2022,Thursday,Apple,7,10170.53,Vijay Siddiqui,40,Delhi,Debit Card,5,iPhone 12
1181,9/11/2022,Sunday,Apple,7,62496.36,Rohan Thakur,31,Delhi,UPI,5,iPhone SE
1203,9/17/2022,Saturday,Apple,1,28796.56,Vinod Nair,57,Delhi,Credit Card,5,iPhone SE
1236,9/27/2022,Tuesday,Apple,2,12084.4,Bhavana Prasad,40,Delhi,UPI,5,iPhone SE
1273,10/7/2022,Friday,Apple,2,38764.95,Sumit Nambiar,47,Delhi,Cash,5,iPhone 12
1348,10/28/2022,Friday,Apple,4,27625.71,Neeta Desai,38,Delhi,UPI,5,iPhone SE
1417,11/17/2022,Thursday,Apple,2,45261.41,Yogesh Luthra,25,Delhi,Cash,5,iPhone 11
1545,12/22/2022,Thursday,Apple,8,21919.04,Sunil Varma,35,Delhi,Credit Card,5,iPhone SE
1547,12/23/2022,Friday,Apple,3,69958.98,Sunil Luthra,43,Delhi,Cash,5,iPhone SE
1582,1/2/2023,Monday,Apple,7,32178.59,Rajesh Chaudhary,20,Delhi,Cash,5,iPhone 12
1599,1/6/2023,Friday,Apple,9,30727.67,Monika Goyal,59,Delhi,UPI,5,iPhone 11
1664,1/25/2023,Wednesday,Apple,2,57442.17,Amit Prasad,28,Delhi,Credit Card,5,iPhone SE
1754,2/20/2023,Monday,Apple,5,29171.29,Lata Kaur,39,Delhi,Debit Card,5,iPhone SE
1770,2/25/2023,Saturday,Apple,2,39016.54,Krishna Chatterjee,52,Delhi,UPI,5,iPhone SE
1787,3/2/2023,Thursday,Apple,4,27657.63,Bina Goyal,36,Delhi,Debit Card,5,iPhone 11
1801,3/6/2023,Monday,Apple,6,60515.84,Priya Dutta,34,Delhi,Credit Card,5,iPhone 11
1802,3/6/2023,Monday,Apple,7,45005.32,Reena Chatterjee,35,Delhi,Cash,5,iPhone 11
1904,4/3/2023,Monday,Apple,5,53626.27,Priya Reddy,30,Delhi,Debit Card,5,iPhone SE
1978,4/24/2023,Monday,Apple,9,41927.96,Pankaj Teja,26,Delhi,Cash,5,iPhone SE
1981,4/25/2023,Tuesday,Apple,6,17101.25,Ramesh Rao,35,Delhi,UPI,5,iPhone SE
2102,5/29/2023,Monday,Apple,3,24999.92,Rajesh Shah,58,Delhi,Cash,5,iPhone SE
2192,6/23/2023,Friday,Apple,8,48072.1,Pooja Arora,51,Delhi,Debit Card,5,iPhone SE
2235,7/5/2023,Wednesday,Apple,3,29847.7,Sanjay Das,28,Delhi,UPI,5,iPhone 11
2298,7/23/2023,Sunday,Apple,6,68642.14,Shruti Sharma,59,Delhi,UPI,5,iPhone 12
2392,8/19/2023,Saturday,Apple,6,10488.77,Vinod Dutta,40,Delhi,Cash,5,iPhone 12
2512,9/21/2023,Thursday,Apple,3,14153.81,Isha Menon,54,Delhi,Debit Card,5,iPhone 12
2533,9/27/2023,Wednesday,Apple,8,60321.83,Radha Sheth,35,Delhi,Credit Card,5,iPhone 12
2557,10/3/2023,Tuesday,Apple,2,35268.15,Rajesh Kulkarni,44,Delhi,Credit Card,5,iPhone 12
2659,11/2/2023,Thursday,Apple,8,34760.2,Prashant Gupta,20,Delhi,Credit Card,5,iPhone SE
2695,11/12/2023,Sunday,Apple,3,56744.05,Reena Chatterjee,34,Delhi,Cash,5,iPhone 12
2730,11/23/2023,Thursday,Apple,9,14193.51,Vinod Srivastava,47,Delhi,Cash,5,iPhone SE
2738,11/25/2023,Saturday,Apple,7,59229.79,Mala Roy,41,Delhi,Credit Card,5,iPhone SE
